,comments
192,"?알지 못하면서 말하지 마시죠? 이다영선수님께서 연예인 한다고 한적도 없구요, 솔직히 쌍수 요즘 거의 다 하는데, 그리고 자신 마음에 들면 된거죠 . 쌍수해도 안어울리는 사람 많아요;; 그리고 이다영선수님 경기영상 보면 누가봐도 사이좋구요, 인스타그램에도 공개적으로 추모게시물 올렸습니다. 정확한 근거없이 악플달지마세요;;"
193,전라도임
194,양손 잡이가 아니라 딴손잡이...<br><br>양손 다 잘사용하는걸 양손잡이라 하고<br>밥은 왼손 글씨는 오른손... 이런식으로 다른손을 사용하면 딴손잡이..<br><br>양손 잡이는 오른손으로 하든 왼손으로 하든 둘 다 잘하면 양손잡이 입니다.
195,1순위하고 2순위하고 뭔차이예요?
196,생얼이시네요. 자칫 성형으로 오해 받을 수도.
197,패션은 무슨 그냥 이쁜거지
198,"예쁘긴.성형과화장빨,수술전이,수수하고,귀여움,지금의모습은.내면만보임.여시같다.재영이의모습이,진정성이보임&lt;내셍각&gt;싫다는게아니다.욕하는것도아니고....."
199,얜 배구 관심 없는 관종~ 이재영 아니었으면 지금 배구나 할 수 있으려나~
200,"ㅋㅋㅋㅋㅋㅋ 댓 생각하고 다세요;; 우리나라 국가대표, 최장신 세터입니다;;"
201,오~우 ~~ 사랑스러운 국민 딸이내
202,여자는우리대민국여자는애교다있다돈이좋니
203,돈밖에뭐라현대배신
204,쌍둥이언니가 1위래 ㅜㅜ
205,연예인코스프레그만좀..실력도 그냥그런데 요새워낙실력잇는세터가없어서..
206,연예인 코스프레 한적도 없는데 그냥 그렇게 받아들이신거 겠죠;; 선수님들도 사람입니다. 악플도 상처받아요
207,근영중때 몇번이셨나요ㅡ
208,눈하고 코도 했잔아..
209,"코 자연인거 말했었어요, 근거 없는 댓글 달지마세요;;"
210,유쾌해서 보는사람을 행복하게해주네 사랑스럽다^^
211,179에 60은 아니지 저몸에
212,니가빠졋네
213,커여움 대표주자네요
214,결혼하고 싶은 여성중 상위랭킹에 듭니다
215,왠가히&#39;해라
216,WHY?  배구선수는 다이쁘지
217,와 옆에 서면 진짜... 굴욕 쩔겠다 난 169거든
218,"ㅋㅋㅋ좀,그렇지?나도그래/"
219,똑같이 이쁜데 꾸미냐 안꾸미냐로 천사냐 사람이냐 차이
220,..? 오마이걸 효정인줄... 아이돌급 미모시네;
221,근데 코 했어요?
222,아뇨 자연입니다;;
223,목소리 도네야?
224,얼굴이 너무 많이 바끼었잔아요. ㅋ 어느날 갑자기 바끼어버렸어요
225,이다영 만나는 남자는 복받은 남자다. <br>딱 하나만 조심해라.<br><br><br><br><br><br><br><br><br>따귀 맞을 짓은 절대 하면 안된다.
226,"그냥사망?,,,,,,그정도는,,,,,쎄터니까?"
