,comments
27269,폭로된 내용보면 진짜 끝판왕이던데.. 어떻게 연예인 될 생각을했을까..
27270,뻔한 내용 스토리...그냥 양산형 k드라마
27271,범죄자가 누구임?
27272,지수요 남자주인공
27273,진짜 존나 띠겁게 생겼넼ㅋㅋㅋㅋㅋ
27274,웃는 꺼 ㅈㄴ 싸대기 마렵넼ㅋㅋㅋ<br>마동석형한테 저 놈 싸대기 몇대만 양손으로 세게 후려달라 해주고 싶닼ㅋㅋㅋ
27275,아무리 그래도 이건 안봅니다.<br>이런 작품을 소개하는건 좀 오버네요<br>처음으로 비추 눌러봅니다.
27276,엄지 짧게 생긴.. 공고 출신 같은 눈빛에서 모든걸 풍기네. 역시 관상은 과학
27277,말왕 인줄
27278,응 구취
27279,"<a href=""https://www.youtube.com/watch?v=gsDf7U7tpt0&amp;t=1m34s"">1:34</a>정작 지는방셔틀을하는게아니라 시키는개시키"
27280,정채연 미모 레전드네
27281,이제 연예계서 학폭당할차래
27282,"학폭은 못참지~ !!!!!!!!  ( 과거는 묻히지 않고, 다 들통나게 되어 있단다~ )"
27283,쟤는 진자 생긴거부터 나쁘게 생기지 않음? ㅋㅋ 누가 밀어주는거냐 주인공감이아니던데
27284,제작사나 투자사 측에서 고소 안한데요?<br>손해가 어마어마 할텐데.
27285,"인터넷에 찾아보면 지수 학폭내용은 허위사실이라고 결론났고 허위사실유포자는 입대한 군인이고 지수랑 아는 사이도 아니고 엄마가 암투병중이라는 이유로 선처해달라는 찌질이였고, 지수가 선처를 해줬다는데<br><br>이거 맞음? 지수 잘못 있음?"
27286,"대체 뭘찾아보신거임? 찾아본것도 아닌거같은데. 난 1분 걸렸음. 님 댓글알바임?<br>학폭은했다<br><a href=""https://n.news.naver.com/entertain/article/052/0001558265"">https://n.news.naver.com/entertain/article/052/0001558265</a><br>성범죄는안했다<br><a href=""https://entertain.naver.com/read?oid=108&amp;aid=0002969877"">https://entertain.naver.com/read?oid=108&amp;aid=0002969877</a>"
27287,@박지훈 피해자의 눈물이 증거인 나라니까
27288,애초에 명백한 거짓이였으면 왜 이사단 났겠음?
27289,여자 누군가요?
27290,좆망은 처음이라서
27291,개극혐
27292,와 썸네일부터 보기도싫다
27293,주인공이 학폭인가요
27294,앵그리맘에서 연기가 아니었구마
27295,으휴 저새끼
27296,썸넬과 내용을 보면 학폭배우 드라마 홍보인가요 그르지마요 누가 학폭배우인지? 나오는 배우 다 의심해야 하잖아요
27297,이딴놈 나오는거 유튭에 올라오는거 보기도 싫음;;
27298,개  썅 야아치 sk 저런 와꾸로 주연까지 어떻게 올라갔지 ᆢ
27299,학폭때문에 안봄
27300,내가 학폭이 될 상인가?
27301,조심해요 해당 배우가 폭로한 사람 고소시전중이라던데<br>괜히 불똥튑니다
27302,댓글이해하고 글쓰는거임?
27303,@김하진 아니 사실 말하는데 무슨 정신병?
27304,@최성욱 정신병 있음?
27305,@이동찬 ??
27306,병있음?
27307,"범죄자 모자이크 필수 아닌가요?<br>그것도 폭력, 성폭력,  어후..."
27308,@최재하 꼴보기 싫으기  얼굴 쳐 가려 달라고  한말이잖아요.  내 안구  소중하다고!   인권은 개뿔
27309,저새끼가 쓰레긴건맞는데 본인은 존나 깨끗한거같음? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
27310,도데체 왜 범죄자 인권을 챙겨주지??
27311,범죄자를 왜 모자이크해
27312,"얜 보보경심 려에도 나왔었는데 솔직히 8명의 왕자(이준기,강하늘,백현등등)중에 비주얼이 젤 별로라고 생각했지만 뭐 발랄하고 착한 왕자역이 의외로 잘어울려서 그려려니 했는데..일진...?"
27313,허위사실 유포남 모친이 암투병중이라고 선처를 해준게 이해가 안된다 민간인도 아니고 군복무중인데
27314,돈으로 압박을 얼마나 했으면 허위사실 ㅇㅈㄹ 쟤는 폭로자가 한두명이 아니었던데 과연
27315,11분 전인데 벌써 댓글이 이렇게나 ㄷㄷ
27316,그래서 누가 가해자?
27317,이거ㅠ개재밌는데 학폭 누구??
27318,@Moment Bad ㅇㅇ자기가 학폭 인정했음
27319,"@D Drive 근데 진짜 지수가 학폭했어?저번에 뉴스 보긴했는데 ,, 그르게 안보이는디"
27320,지수
27321,주인공이 학폭했옸나 ㅋㅋㅋ
27322,"<a href=""https://www.youtube.com/watch?v=gsDf7U7tpt0&amp;t=0m02s"">0:02</a> 여깄네 주범 ㅋㅋ"
27323,관상은 과학..
27324,제대로 연기하는 애가 지수뿐..
27325,제대로 한방 간애가 지수 뿐.....
27326,학폭 연예인에 학폭 운동선수..
27327,@박지훈 yadong
27328,@복돌s 저거 머에요?
27329,@복돌s 저거 뭔데요?
27330,@Avery Lawrence 선넘네 에바아님?<br>이런거  올리지마세여
27331,"<a href=""https://www.youtubesz.com/watch?v=KxxHFsaPWWc"">https://www.youtubesz.com/watch?v=KxxHFsaPWWc</a>"
27332,이거 ㄹㅇ 재밌긴 함 ㅋㅋ
27333,안돼ㅠㅠ
27334,딱봐도 재미없어보여
27335,1분전은 못참지 ㄹㅇ
27336,누가 학폭이죠?
27337,@권혁주 알려주셔서 감사합니다
27338,주인공 남자
27339,지수
27340,진짜 재밌는데 학폭 연예인 때문에….
27341,모자이크는 없어요~🤤
27342,굿이에요
27343,오
27344,최고야
27345,ㅋㅋ 지들이안당해보면 모르지 지자식이라 싸도는거보소 그에미야 그아들이라고 ~
27346,김종국 학폭인정해
27347,이렇게 학폭미투현상이 확산되는게 너무나 보기 좋습니다 :-)<br>피해자들을 생각하면 이런 현상이 더 활발해져서<br>가해자의 싹이 보이는 아이들이 후에 자기 미래를 위해서라도 <br>누군가를 괴롭혀야지라는 생각 자체를 가지지 못하는 문화가<br>사회적으로 확산됬으면 좋겠어요.
27348,배구 이재영.이다영 선수를 계기로 또 다시 번지는 학폭미투운동
27349,그래도 저 셋은 같이 욕먹으니까 부담이 덜 할듯..ㅋㅋㅋ
27350,근데 양홍원 왜 아직도 살아있냐?
27351,공감
27352,학폭 당하신 분들은 TV 볼때 가해자들 얼굴 나오면 너무 힘들겠다.... 사람은 고쳐쓰는거 아니야 제발
27353,진짜 학폭 년놈들은<br>다 뒤져야됨
27354,유영현..ㅋㅋ 생긴건 찐따같아서 맞고다녔을거 같은데..ㅋㅋ
27355,때린 사람은 금방 잊어버리는데 맞은 사람은 평생을 기억한다. 트라우마처럼... 죽지 못해 사는거지.
27356,티비에출연시킬때 전과나학폭등 다 조사하고출연시켜
27357,왜 제목 잔나비라하냐 유영현이라 하지ㅉ
27358,양아치같이생겼네들
27359,윤서빈은<br>이제<br>빼줘라<br>해명글<br>다올라왔던데
27360,나는 중학교때 기간이 짧았고 그냥 은따 수준으로 당한거라서 뭐할것도 없지만 그래도 아직도 맘속에선 복수 기회만 있으면 복수하고싶어서 열심히 인생사는중 겁나 고마워죽겠네 걔 덕분에 인생 열심히 살고있음. 담에 동창회에서 꼭 만나서 내가 그땐 너 그렇게 비웃고 만만하게 봐줄게 너는 그때처럼 평생 나한테 열등감 가지면서 살아.
27361,피해를줬으면 피해를 받아야지
27362,한바가지 욕 해주고 싶네.. 결국 가해자도 죄책감 때문에 병원가고 약먹고 하게됨 그게 아니여도 다른데서 다 돌아오게됨
27363,"학폭의 상처는 평생갑니다. 매일은 아니나 가끔.. 아니면 자주.. 한 번씩 생각나면 하루가 무너져요.. 점심시간마다 우울증이 와서 화장실 가서 벽에 머리박고 상담, 약물 치료 받고 저 뿐만 아니라 가족들도 너무 힘들어합니다. ㅎㅎ.. 그렇게 잊고 싶은데 왜 이렇게 안 잊어지는지 몰라요..ㅎㅎ"
27364,음~~느낌은 어쩔수 없었네.평상시 싸가지가 없어서 밉보였는데~~~아직도 몇몇 더 있지~~
27365,학폭했다고 인정하고 사과라도 해야<br>양심있는짓이지<br>학폭한거 숨기고 다니면 오히려 더 안되는 행동
27366,학교폭력 이력있어서 jyp퇴출된 애를<br>프로듀서X101에 들여보네다니 <br>ㅡ.ㅡ 연애인으로서 자격 없음.
27367,개가 똥을 끊겠나?....기본 바탕은 안변한다...원만한 합의?...아니지 부귀영화를 위한 타협이겠지.....이런 인쓰는 연예계에서 퇴출시켜야한다. 니들은 대중의 사랑을 받을 자격이 없다....가해자는 쉽게 잊어도 피해자는 크던 작던 아픔과 상처를 잊지못한다.
27368,공감합니다~
27369,안보고 살수있는것도아니고 티비틀거나 인터넷할때마다 볼수도있는데<br>그사람은 그얼굴을 왜 봐야되냐?
27370,"과거를 붙잡고 , 어떡해든 은퇴하라하는것도 나무하신거 같고요, 과거에 자세히 보지도 못하고 루머로만 이루어진 것이면요?"
27371,피구하는현이 그럴수도 있죠 그냥 심한 다툼으로 싸웠다가 뒤끝있는 애가 과장해서 sns에 올리수 있다고 봐요
27372,제가 따 많이 당해봐서 아는데 정말고통스럽고 죽어싶어요.가해자 진짜 지들이 당해봐야되요
27373,힘내요 가해자는 참교육이 길이거든요
27374,힘내시게. 사람은 어려울수록 더 강해지는 법일세. 그일로 사람을 혐오하거나 히키코모리가 되지않았으면 좋겠네. 용기를 내게 내 응원하지.
27375,힘내요 친구
27376,조권이 효린 jyp 연습생 시절때 군기 엄청 잡앗다더만 다 이유가 잇엇구만
27377,"헐 ,충격..."
27378,본인이 인정한것도 아니고 증거하나없는 글에 노빠꾸로 댓글다는 너네가 더추잡해<br>기어 중립에놓고 지켜보는게 그렇게 어렵나?<br>저번 어린아이만 버스에내렸는데도 절규하는 엄마를 무시한 버스기사 사람들이 신상털고 쌍욕박은거 결과는어쨋나?<br>피해망상 아줌마의 주작글 아니였나?<br>제발 글쓰기전에 기어중립에 놓고 씁시다
27379,당해보진 않았지만 학교폭력 당한 아이들 심리가 상당히 불안하겠죠<br>더군다나 어린나이때라ᆢ<br>그렇다치면 한사람의 인생을 불행하게 만들수 있는 충분한 요지가 있음에도 본인의 명예를 들추는 효린이의 인성에 소름 돋았다<br>인성 본성은 변하지 않거든?<br>자숙해라<br>본인의 명예가 그렇게 중요한데 남의 인생을 송두리째 헤쳐놨나?<br>노래 잘하길래 이뻐했던 효린이라 실망이 큽니다
27380,이미지변신하고 본인만 잘살았겠지 피해자들은  아직도 볼때마다 피가 꺼꾸러 치는데ㅡㅡ
27381,저쫍은 사회에서 저런것들이 나와서 주접떠는것 보고 연애인...
27382,근데 효린 씨스타로 활동할 때<br>전 소속사는 인성으로 소문 많이<br>난데라서 효린이 세다는 건 알고 있었는데......
27383,처음부터 인상이 아치 같더니..ㅠㅠ 잘못된 과거는 절대로 묻힐 수 없는법!!! 연예계에서 퇴출해야 함!!!
27384,찬성
27385,방송이 진정한 밝은 사회를 추구한다면  학교와 노동현장에서 지금 계속되는 폭력들ㆍ   부정취업 ㆍ 성상납등을  크게 지속적으로 다루어 근절시키는 역할을 해야겠죠ㆍ
27386,지독한 노력과 합력으로 어쩌다 어른이 되어 사랑ㆍ 꿈ㆍ 힘ㆍ관용들을   노래하는 밴드 잔나비ㅡ젊은이들은 물론 충분히 어른이 된 우리까지도 행복하게 해주는 신선하고 멋진 잔나비가 이제는 학폭보다 더 무서운 방송폭력으로 다칠까봐 걱정된다ㆍ
27387,학폭을 바로 선도하지 못하고 재능있는 학생들을 일괄적인 교육과정에 묶어 옭죄였던 쌤들도 미안하다ㆍ
27388,피해자는 평생 트라우마로 힘들다   나이가 많고 적고를 떠나서 누군가에게 피해를줬다면 책임을 져야된다는것을 법으로 좀 보여줫으면 좋겠다
27389,착하게 살아라. 세상에 비밀은 없다
27390,김남국씨 발음이 너무 안좋으시네요
27391,유영현  서태지  인줄
27392,오합지졸이구만...분명 또 더 나올테지ㅋㅋㅋㅋㅋㅋ효린이 진심 최악이다 저중에서
27393,학폭 가해자는 사회에서 얼굴 들고 다니면 안되는 게 정상이다.<br>떳떳하게 사회생활 한다면 피해자는 계속해서 늘어날 수 밖에 없다.
27394,학교폭력 동의 하세요... 제발  저 친구 머리에 비닐봉지 하고 장난친 유영현 시발년아  꺼저  시발년아      후회되지? 영현아  꺼저 같은학교도 소름끼친다
27395,남의 눈에 눈물을 흘리게 있으면 니눈엔 피눈물이 흘러야 ..당연한거 아니냐? 그동안 처 잘먹고 살았잖아...
27396,윤서빈 군은 학폭 루머로 밝혀졌습니다 ㅜ ㅜ 좀 그만 후려잡으세요
27397,어릴때 놀고다닌 잘못이지 뭐.. 어쩔수없음
27398,연예인 청문회 ㄱㄱㄱㄱㄱ~~
27399,현타오지??? 명예회손???? 염병 가해자는 15년이지나건 30년이지나건 복수하고 죽이고싶은마음뿐이다. 명예회손죄로 고소어쩌구 그 생각히기전에 피해자한테 가서 진심으로 사과할생각을해라.
27400,맞춤법부터 다시 공부하시죠. 회손이 아니라 훼손이거든요?
27401,피해자의 상처는 평생간다는 사실!!!<br>꼭 처벌받아야 함
27402,"학교폭력은 근절돼야 하고 비난받아 마땅한 일이다.<br>학폭의 공론화는 지지 받을 일이지만<br>누군가의 거짓된 말로 인한 피해자 없는 가해자가 된 &#39;누군가&#39; 가 생겼다면 정정기사와 학폭의 가해자라는 언급은 더 이상 없어야 하지 않을까?<br>첫 번째 윤서빈은 학폭과 함께 언급되어 비난을 받았지만 같은 학교 졸업생, 선생님 등 주변인의 해명으로 사실이 아닌 것으로 밝혀졌다.<br>하지만 루머의 확산에 비해 사실을 담은 정정기사는 거의 없다.<br>적어도 사회의 전반을 알려주는 뉴스, 기자 라면 진실만을 알리겠다는 소명의식을 갖길 바란다."
27403,그 말에 공감합니다. 조회수만 생각하고 자극적인 기사만 뽑아내는 것같아요. 정작 해명기사는 1개뿐이고 많은 분들이 아직도 오해중이시더라고요ㅜ 윤서빈 팬으로서 마음이 많이 아프네요...
27404,역시 인상은 과학이었다
27405,오늘 한명 또 추가됨 ㅡ베리굿(다예)  잔나비ㅡ프듀연습생ㅡ효린ㅡ프로미스나인 등등 학폭 연예인 많네 또 숨겨진  연예인들 많겠지? 가식떨며 착한척하며 연예계 생활할거 생각하니 끔찍하군
27406,학교폭력 피해자 당사자 되보면 그 분들의 심정이 이해가 됩니다
27407,세상살이 인과응보다. 정말 자숙하고 다시 일어서라
27408,동창생분들 진실을 말씀하세요. 학교 폭력에 대해 과거에는 침묵하고 지금은 합의하신 건가요? 이건 합의로 끝날수 없는 범죄입니다. 과거에는 두들겨 패는 동창에 무서워서 현재 권력과 돈에 무서워 침묵한다면 이건 원만한 합의에 동참하는 겁니다. 얼마나 많은 아이들이  다치고 자살하는지 아십니까? 우리의 침묵과 합의가 이 범죄를 키우는 겁니다. 원만히 합의한 효린을 앞으로 같이 볼까요?
27409,뭔 개소리야 서로 합의하면 되는거지 합의 뜻은 아는거지..?
27410,뭔개솔 합의라고해야지 내가분이풀리면합의해야지
27411,피해자는 가해자가 티비에 나올때마다 지옥이겠지..은퇴해라.
27412,노는애들은 어쩔수없나보네
27413,청보법 없애면된다 일베같은 애들이 쥐닭때 탄생한것들이다 <br>그것들이 지금도 나이쳐먹고 정신 못차린다
27414,ㅋㅋㅋ 가수 비랑 김종국은 다행이내~ 당시 학폭정도가 아니라 그 지역 싸움짱이였었는데..
27415,이참에 쌈꾼 남녀 랭킹 재확인 해야할듯 ㅋㅋ
27416,학폭하고 싸움짱하고 다름<br>싸움 잘해도 동기 안괴롭히고 잘 지냄
27417,사람은 고쳐 쓰는게 아니다~
27418,학폭뿐 아니라 모든 범죄에 공소시효를 없애고 법 좀 강력하게 고쳐라
27419,@장재호 몰라서 그러는데 짓껄어봐
27420,@장재호  어중간한 소리 하네<br>공소시효 제도 때문에 빠져나가는 것들 보고도 이런 말을 하다니 생각좀 해라 공소시효 없애고 수사정지제도  같은 것 만들면 된다.
27421,저런 ㅆ새끼들은 감옥이 아니라 고통스럽게 고문해야 한다
27422,얼마나 괴롭혔으면 인새조차 살기 싫다고 하고 그냥 맞고 죽고 싶다는 말까지...
27423,와...... 이거 실화냐???  머리에 껌 묻히고... 코피도 나게하고 그게 모자라서 주먹으로 때까지....
27424,견찰이 일을 안해 ㅋㅋㅋ
27425,그냥 소년법만없애면 됨
27426,초6~고3까지 괴롭힘을 당해서 힘들고 괴로웠어요 그런 일로 인해 트라우마 조울증 대인기피증 악몽에 시달렸습니다 참다보니 극단적 선택을 할려고 했습니다
27427,"전학,자퇴 하시지 <br>경찰에 신고하거나"
27428,학폭 멈춰. 이런식으로 학폭을 조롱거리로 쓰지 않았으면 좋겠습니다
27429,누군가에겐 장난 누군가에게는 폭력과 평생의 트라우마가 될수 있습니다! 누구나 존중을 하고 받고 서로서로 이해를 해주어야합니다!! 이러한 폭력이 이 세상에서 없어지는 날이 왔으면 좋겠네요.우리 다함께 실천해 평화로운 지구로 만듭시다!
27430,카톡 감옥은... 몰랐습니다. ㅜㅜ
27431,청소년범죄 엄중하게 다뤄야 이런 착한애들이 보호받죠
27432,아니 전화 번호를 바꾸던지 카톡 거절하면되는거 아냐???
27433,전번 니가 그댓쓰는 시간 잠깐동안 쉽게 바꾸는게 아니고 부계파던가 실제로 만나서하지
27434,청소년법 계속 유지 할꺼면 가해자 보호자들 구속 시켜라 법적 대리인인데 둘중 한개를 진행하는것이 좋지 않은가?
27435,천벌을받아라 니들은진짜
27436,"대한민국의 사법 정의는 어디로 실종 되었을가?<br>문재인 대통령님, 당신이 약속한 전혀 경험하지 못한 새로운 나라가 이런 나라입니까?<br>당신이 주장하는 우리 나라의 적폐는 <br>국민들이 경험하고 고통받는 적폐하고는 전혀 다른 것 같습니다. <br>많은 국민들은 상식과 사회적 정의가 실종되고 살아있는 악마들이 즐겁게 잘 살고 있는,<br>이런 나라가  살기 싫고 가증스럽습게 느껴지고 있읍니다."
27437,참  우리나라가  답이  없다...
27438,(인종차별ㅡㅡ 욕%&amp;) 힘내세요 성인되고 자기들이 잘못 모르죠 부모님 부끄럽다
27439,근데 저렇게 깊이 파는것도 딱히 안좋지 않냐
27440,"학폭을 당하게 된다면 <br>녹음기로 증거수집해서 <br>바로 법률사무소나 경찰서를 방문하세요 <br>그래야 일이 해결될 것입니다<br>그리고 전학,자퇴로 빠르게 해결하는것도 좋은 방법입니다"
27441,"이건 다 이나라 공무원과  정치하는 놈들 때문이다. 시대가 언젠데 70,80년대 애들 법을 이시대의 청소년법이라고 적용하고있나.. <br>나라 국민 편가르고 페미나 빨 줄 알았지.. 13세 이상 부터는 현행 성인에게 적용되는 법 적용 해야되..<br>청소년 때 저렇게 당해버리면 남은 인생 평생 가는거야.. 저런거나 법 개정해라.. 인민 감성 법 만들지 말고.."
27442,애들이 선을 많이 넘었네...우리나라 법 개정해야함
27443,멈춰!!!
27444,이번 코로나19 판데믹이 대면수업을 없애버린것은 정말 신이 내린 축복이다.제발 코로나가 끝나지 않기를 간절한 맘으로 바란다.정말 지금까지 얼마나 많은 사람들이 저 쓰레기 같은 학교라는 감옥에 갇혀서 숨소리조차 조심스럽게 내면서 살아야 했을까.어딜가나 눈치보면서 조심하는 수 밖에 없는것 같다.이런 학폭문제 뿐이랴 어딜가나 어린 것들이나 어른들이나 남 잘될까봐 시기와 미움으로 주변모두를 잠재적인 적으로 여기기에 이런 사태가 일어나는 것이지.차이가 있다면 애들은 이성과 기술이 부족해서 폭력을 행사하는 것이고 어른들은 감정을 숨기고 더 치밀하게 견재를 한다.지금세상은 너무나 잘못된 방향으로 가고있는 혼돈과 물질서의 세계다.이번 코로나가 절대로 끝나지 않고  전 인류는 가상세계로만 활동해야 한다.이미 통재를 할수 없을 만큼 너무나 멀리갔다.인류가 늘어나 점점 과밀화 되면서 사람들을 만나는 것은 스트레스만 받는 대상이기에 이런 일이 일어나는 것이지.
27445,"<a href=""https://www.youtube.com/watch?v=K6WKWIkn_UY&amp;t=13m35s"">13:35</a> 배우준비하는 학폭 가해자로 네이트판에서 핫했는데 방송나왔네?? 피해자분 인스타에 증거 엄청 많아요~ 제가 봤던 언어폭력중 가장 끔찍하고 역겨움... 지금도 가해자들 피해자분 신상유포하면서 협박하고 법적대응 한다던데... 학폭 가해자들은 아무리 시건이 지나도 안 변함 역시"
27446,학폭은 평생 박제 돼야 함. 싫다고? 그럼 학폭을 안 하면 되는 거임
27447,진짜 소년법 없애라 진짜..  피해학생들은 평생 그 기억이 남고 괴로울 텐데 가해자들은 소년법 때문에 가해자는 벌도 제대로 받고 이게 나라냐????
27448,학생끼리에 피해는 그대로받는법이면 좋을듯
27449,소년법이다.
27450,스타는 무슨 ㅋㅋㅋㅋ 헐리우드냐? <br>자신을 괴롭히는 상대방에게 더 강하게 대항하세요.<br>이래서 정당방위를 성립해줘야한다.
27451,여태 소년법 안고치는데 방송이 뭔 의미가 있나 싶다...<br>이런 문제가 대두된지 정말 한참 됐는데도 법이 그대로인걸
27452,선생이라는 놈듬들이 인성교육은. 뒷전이고 돈있는집 자식 . 권력있는집 자식위하느라 돈쳐먹고 사고를무마하는게 문제의 본질이지.
27453,총기 합법화 하면 학폭 80%는 해결 될듯
27454,진짜 저런것들 감옥보내야한다 요즘 10대들은 나쁜짓을 아무렇지 않게 벌이는데 청소년법으로 해결이 안되고 형사처벌만이 살길입니다
27455,세상이 어찌되려고 저러나 자식들 잘 키워야하는데
27456,학교에서 인성교육은없다<br>개정부
27457,저 고통은평생간다
27458,역시 학교폭력도 범죄이고 학생들이라해도 학폭가해자들은 범죄자로 취급해야된다
27459,미성년자라는 보호법을 꿰뚤고<br>악용하고있다<br>미성년자보호법 폐지하고 엄벌에<br>처 해야합니다
27460,아니 방송이랑 언론이 떠들면 뭐하냐고 현실은 신고 하면 가해학생은 교내쓰레기 줍기 ㅇㅈㄹ 하면서 처벌받고 마는데  그리고 더 심하게 괴롭힘  요즘 학교도 선생들 아무 힘도 없어 이렇게 만들어놓고 피해학생 어쩌구 앞으로 저런 피해자들 더 많이 나올거야
27461,"<b>These days, the &#39;Me Too Movement&#39; against school violence is active in Korea. The trauma of violence lasts a long time. As such, the lives of victims of school violence and their families have completely collapsed.</b>"
27462,화해하개하는건 그건잘못됨검니다 오히려 더 안조아질분 어른 경찰 다 그냥대수롭게여겨서 결국 않조은결과가나올쁜 결국 도와준다는 사람들의 등돌리기때문애 저런일이생길분 사이코리밴치애서보면 재가하는말의뜼이나옴니다
27463,학교폭력하게 나둬랔ㅋㅋㅋ 언제가는 저게 발목잡더라 학교폭력 연예인들 봐바 ㅋㅋ 뒤지게 후회중일거다 이제 갓떠올랐는데 바로 학폭으로 매장 ㅋㅋ 얼굴다팔리고 증거만 확실히 모아둬
27464,저렇게 직접적으로 때린건 바로 신고해야지...<br> 저건 너무 심하네 ㅁㅊ새 ㄲ들 청소년이라고 처벌 약하게 하지마라 사리분별 분명히 할수 있는 나이다
27465,대학처럼 수업 바뀌어야함
27466,학폭하는 애들 전부다 잡아 쳐놓어라..범죄자한테 나이가 어디있어..그냥 범죄자지..
27467,민주당에서 꼭 차기 대통령이 탄생 하길 바랍니다 ㆍ민주당에서 분명 차기 대통령 으로 당선 될수있는 자격 조건 임니다 1ㆍ흙색 선전 선동 하지 않는자 2ㆍ가짜 뉴스를 생산 하지 않는자 ㆍ3ㆍ악의 거짓말 하지 않는자 ㆍ4 ㆍ선거용 국민들 편가르기 하지 않는자 ㆍ5ㆍ북한을 적으로 알고 반공 정신이 투철한자 ㆍ6 ㆍ역사를 사실대로 바로 세울수 있는자 ㆍ7 ㆍ제발좀 민주당 전 ㆍ현직 판ㆍ검사 ㆍ변호사 출신 에서 차기 대통령으로 탄생 시켜 주세요 ㆍ감사합니다
27468,자신의 대해 한점 부끄럼없는 사람.<br>자신의 양심이 떳떳한 사람.<br>국민을 사랑할줄 아는 사람.<br>나라을 사랑할줄 아는 사람.<br>정의을 말과 행동으로 옴길줄 아는 사람.<br>담 대통령 후보는 하늘을 우러러 한점 부끄럼없는<br>분이 나왔으면 좋겠습니다.
27469,제발 대책 좀 만들어보세요<br>정신적인 피해는 평생 따라다닙니다
27470,전 예전에 가해자의 홈피가서 항의하고 댓글로 메시지 남겨놓음. 죄를 알도록. <br> <br>사과 못 받아도 알게해야죠
27471,촉법소년이면 학폭가해자 죽여도 정당방위다
27472,소년원에서 중고등학교 나오게 하는게
27473,"내가 제일 이해 안가는 것은 왜 피해자 부모들이 가만 있는것인지? 자기 아들 딸이 죽었는데, 아직도 법적으로 해결 할려고 하는것인지? 법이 효과가 있었으면 자기 아들딸이 왜 죽었을까? 만약 피해자 부모 10-20명만 가해자를 크게 위해를 가했으면, 이 문제는 겨우 이정도(?)의 사회 이슈화가 아니라, 대통령이 나섰을듯. 그리고, 미래 학폭 가해자들도 자신들이 당할까봐, 한번 정도는 움찔 할것이다. 딱 30번만 일어나면 된다."
27474,학폭의 원인중 하나 부모의 생활에(가정환경)영향을 받는다.<br>대책은 전에도 없고 현재도 없다. <br>좋은 인성은 생활습관에서 나온다.
27475,형제 자매에게도 영향을 받구요
27476,"적폐청산 우선 순위..<br>1. 법무부 개혁 <br>2.선관위 개혁<br>3.청와대 개혁 <br>4.문재인 개혁 <br>적폐 청산은 이 모든게 이뤄 졌을 때 전폐청산이 완료 됩니다."
27477,@수술실어시스트 그 공격과 성적인 글의 ㅇㅂ 고쳐져야 아님 사라져야 합니다
27478,일배청산도 해야지
27479,가해자는 피해자의 고통을 모른다<br>그래서 더 문제다 사과를 안하니까
27480,광고는 오ㅐ?
27481,안죽은게 다행이네 그런 가해자들은 감옥을 평생살려야합니다
27482,가해자 보호 위주의 사회가 웃기지도 않음. 성인되면 기록들도 다 사라진다며? ㅋㅋㅋㅋ
27483,학교폭력의 가장 좋은 대책이 지금  나오고 있는거다  20대  30대  한참  스타로 잘나가려할때  빵 터지는 이  사태들이  가장 좋은 대책이 되고있는것이다 학교 정부시책보다 훨씬 강력하다  도대체 부모들은 어떤인간들이냐  가만보면 자존감 낮고 열등감있는 사람들이  가해하는거 같긴한데 그 악의고리를 끊어야하는데 문제다
27484,니머리카락다집어띳고싶다니는고라고웃고방송했니진달냊과네
27485,나쁜것친구를삼년동안괴롭혔다니정말잔인한것이치가떨린다이년아
27486,효린조거못땠네니도국민들한테맞아봐야정신차리지댓글부대동원해젖런것은아예티비에못나오게해야돼
27487,평생을속죄하고어두운곳에서살아라
27488,처음에뭐그런걸봐서<br>화나서그런건지<br>게롭히고싶어떤지<br>정말이해가안가네.
27489,이러니깐 뭐 아이돌 연예인은 학창시절 껍던씹좀 하던 일진애들이나 한다는 고정관념과 선입견이 생기지..
27490,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ뭔 실수얔ㅋㅋㅋㅋㅋㅋㅋㅋ
27491,저도 폭행당한적 있는데<br>그때 왜 맞았나 싶고<br>만나면 그때 왜 그랬냐고 물어내라고 따지고 싶은마음인데 저사람들은 오죽하겠냐는거죠.
27492,효린은 딱봐도 어릴적 놀았게 생겼잖아
27493,쌍판데기 보면 답은 이미 나와있어.<br>ㅋ<br><br>쟤가 첨부터 쌍판데기가 영 개빡.<br>ㅋ<br>ㅋ<br>학폭은 심각.
27494,자업자득이지 뭐.. 이래서 사람의 관상은 무시 할수가없네...
27495,뿌린대로 거두는것 ... 뭐 어쩌라고 ... 폭행 사건이 사실이면 연예생활을 접어야겠지 ... 범죄자를 TV에서 보기 싫은건 당연한거 아닌가 ?
27496,연예인은 공인이다~본보기가 되어야한다~그런의미에서 효린도 본보기로 조져놔야한다~!
27497,저런색기들은 학폭이나 하고 떳떳하게 연예인으로 나와서 활동하는거 보면 죽여버리고 싶겠다...학창시절에 얘들을 얼마나 때리고 돈뺏고 괴롭히면 저러냐...쪽팔린색기들
27498,KAWS 이런 댓글적는게 더쪽팔린다ㅋㅋㅋ 왕따당한거 티내노ㅋㅋㅋ
27499,일진놀이 하는 새끼들 이제 정신 쫌 차려라 아니면 니들끼리 놀던가 애들 피해주지말고..
