,0
39,lol l&#39;m Kurdish myself but l searching for English comment
40,やめて！誰かがあなたにこれをするなら、それについて考えてください !!
41,벼ㅑㄷ개 ㅕㅜ ㅜㅐ퍄ㅐ 책ㄷ무ㅐ ㅇㄷ 13 내ㅛ ㅣㅁ샤ㅜㅁ ㅓ머머
42,Nosé
43,اسم این فیلم چیه
44,Kasihan bgtt:
45,Hl
46,안정적인 것은 불가능합니다 😔
47,いじめている子たち、消えろ！
48,通報案件！
49,🙁🙁🙁🙁🙁😊☺️
50,نمتت ل وا jdgfidhjfb
51,😁😁
52,ठतझभऱठठढणका
53,¥€¢£
54,Xriyfut6r8STHGxsg 🤣🤣🤣🤣
55,아오이거보기실어
56,K-드라마의 이름은 무엇입니까?
57,This drama name is &lt;Who are you-School 2015&gt;
58,나도 초등학교2학년에 왕따 당했는데 지금은 괜찮지만 은비님의 마음을 알아요 힘내세요!ㅠㅜ
59,hmm
60,شنو اسم المسلسل
61,Bad Gerls🤬😠😠😠😠😡😡😡😡😡😡
62,What is the name of drama
63,"<a href=""https://www.youtube.com/watch?v=rVUD0uEIAY4&amp;t=0m11s"">0:11</a> 저기 약간 갈색이고 리조트처럼 두우웅그렇고 각진 그 리조트가 내가 갔던곳인데  딱 있네 ㄹㅇ ㅋㅋ"
64,私の推しのキム・ソヒョンちゃんじゃん！！可哀想...🥺
65,いや、マジそれな😢
66,재재 ㅏㄷ 구
67,اسم المسلسل بلييز 🗿💜💚🦋♥️
68,いじめたひとひどい😈👿
69,I hate bullying 😏😏
70,#####&amp;
71,字幕欲しい笑
72,شنو اسم المسلسل
73,Series name pls???
74,Drama name: school 2015 who are you
75,もしされたら倍で返す
76,حلو
77,いじ
78,こんな、いじめを、した人たちは、いつか、仕返しが、帰ってくる
79,واو
80,저 진짜 이상한가봐요 사람한테 계란 던직ㅎ 밀가루 뿌리는게 재밌어보여요...
81,그렇게 재밌어보이면 니가 직접 당해보셈ㅋㅋㅋ실제론 당하면 아무말도못하믄서ㅋㅋㅋㅋㅋㅋ
82,댓글로 쓰지 말고 님 부모님한테 이런 소리 해보세요
83,은비언니 불쌍해 언니 그 밀가루 나쁜언니한테 뿌려 특제소스도 뿌리고
84,와 나빴다 데박 헐
85,อยากให้มีซับไทย
86,可愛そう。イジメは、良くないです、
87,Hhııjhıhjühucy gühıvu gob ghcnko joüg
88,Shaw Name Serial Name.
89,شنو اسم المسلسل
90,"<a href=""https://www.youtube.com/watch?v=rVUD0uEIAY4&amp;t=0m35s"">0:35</a> 왼쪽 애 도깨비에서 지은탁 따시키던애 아닌가"
91,Harika vido
92,하 진짜 이건 너무하다 왕따가
93,ㅠ
94,Pls drama name
95,友達が誕生日に汚れないのではないかと心配しているのは知っていますが、あの女の子と一緒にいると大変です.
96,요즘도 저런 짓들 하나?
97,What name of the drama ?¿ شو اسم المسلسل
98,나쁜에들 내가때찌할거야<br>소현아힘내
99,Darama name
100,이 쇼는 아름답습니다. ✨
101,저것들은학폭으로 신고해야됨
102,특제소스 좋아하고자빠졌내 나도 너희한테 특제소스 뿌려져!!
103,인간케이크인가 너무 슬프다
104,&quot;학교폭력 멈춰ㅡ!!&quot;
105,Hgfghjjmgdtd jjhhhjj jjhhhjj jjhhhjj fgtbhjhvugf ghmbhfcun ghmhnhj hjhmjmhbj nunjgjhn hjhjjjmi hjhihg khhhjhhyh. Hjjkhhhhgn hjhjbg
106,제가 애 낳으면 애 학교생활은 어떤지 궁금할거 같아요. 근데 이런 모습을 보면 너무 가슴이 찌져질것 같네요ㅠ.ㅠ
107,아진짜 !!!! 일찐들 너무 나빴다 네가 고등학생 중학생이면 화낼수 있는데!! 화이팅!!!
108,Me- searching for English comment<br>And<br>How many of you searching for it
109,Me here
110,@Healthy and fitness Thank you 😊
111,@غدير التميمي (who are you school 2015 )
112,What is the name of the series?
113,Me here
114,Hola
115,진짜못된애들이! 이렇게솔직한데!
116,학교폭력입니다.
117,저기서 일어나서 주변 애들한테 비벼야지
118,배로나 아냐?
119,Pekasar
120,친구를 위해 신발을 버렸다
121,Jhih
122,As children hfuf
123,난 썸내일보고 배로나인줄 그리고...<br><br>자세히 보기
124,차라리 케이크 먹지
125,멈춰!
126,bullying in sk is literally attempted murder. how tf do the bullies get away with it?
127,اسم المسلسل وعدد حلقاته
128,난 그 축하받는애가 구해줄줄알았는데...
129,개가 제일 나쁜애임
130,저 계란 맞은사람 팬티하우스 배로나 닮았다
131,조금 옛날 영상 이구만
132,🥺🥺🥺🥺🥺🥺🥺
133,화나겠다
134,어몽어스네요?
135,This is the meanest video I&#39;ve ever seen
136,시리즈의 이름은 무엇입니까
137,근데 왕따당하는사람이 펜하에 나오는 배로ㄴ..
138,김소현임
139,진짜학생미친놈는리다교장하돼신고해야돼다그냥머리를사말버리지개세끼는학생....ㅉㅉㅉ
140,생일인 친구도 이상함;;
141,너무 캐이크가 커😔
142,اين انتم ياعرب 🙋‍♀️
143,احنا هون
144,아우!!!~ 고등학생 재내들 너무싫다~!!!
145,English comment😁
146,그가 거기 도착해서 정말 미안해
147,"<a href=""https://www.youtube.com/watch?v=rVUD0uEIAY4&amp;t=1m12s"">1:12</a>  저거 까나리면 니 얼굴 내 프사"
148,مسكينه والله 💔😭
149,ممكن اسم المسلسل
150,اسم مسلسل
151,???: 멈춰!
152,옆에서 불쌍해 이 난리 치는 게 더 짜증남<br>개인피셜이지만
153,ㅇㅈ 도와주지도 않을거면서 불쌍해 ㅇㅈㄹ
154,😭💔😜😜😜😜😜😜😜😜😜😝😝😝😝
155,可哀想、、、。
156,Kasian cewek nya😭
157,아니 조회수 뭐야 2626만회
158,혹시..왕따 당하고있는사람 실제이름 문가영인가요?
159,김소현이야
160,처음에 괴롭힌곳도 잘못이지만 밀가루 아깝다
161,이 드라마를 사랑해❤❤
162,ㅈㄴ 미친거아님??
163,정말 학폭하지맙시다 여러분들
164,€€€€££££_€€££€£
165,"티아라,AOA,에이프릴,미쓰에이"
166,@Autumn tv 영원히
167,언제까지 티아라 얘기할거야???!!!!!
168,いじめは、ダメだよ！
169,ما هو اسم الفلم
170,첨엔 표정 굳어있다가 그다음 활짝 웃었다ㅋ
171,아니 근데 저렇게 이쁜애는 따를 당할 수가 없음
172,"Idc if I’m the only English user commenting on this bullcrap, all I&#39;m gonna say is that I will DROP those attention-seeking MORONS if they EVER come near me!"
173,계란 맟은애 배로나 같음
174,케이크에 까나리도 들어갔나
175,완전아프겠다
176,제 채널 영상 댓글에 9월학기제 청원 링크 올렸습니다. 청원 동의 좀 눌러주세요! 제발!!
177,저언니들 몇살이야!!!
178,제 채널 영상 댓글에 9월학기제 청원 링크 올렸습니다. 청원 동의 좀 눌러주세요! 제발!!
179,왕따 시키는 언니들 너무 하는거 아냐~!!!
180,선생님인성보소;
181,제 채널 영상 댓글에 9월학기제 청원 링크 올렸습니다. 청원 동의 좀 눌러주세요! 제발!!
182,와...너무하다
183,갸앙ㅇㅇ갸ㅑ오 겨ㅛㅅㄱㄷㅈㅂㅁㄴㅇㄹㅎ고가그귶ㅊㅌㅋ
184,제 채널 영상 댓글에 9월학기제 청원 링크 올렸습니다. 청원 동의 좀 눌러주세요! 제발!!
185,저 당시 김소현 나이 고1의 나이였음 연기력 ㄹㅇ 작살났지
186,제 채널 영상 댓글에 9월학기제 청원 링크 올렸습니다. 청원 동의 좀 눌러주세요! 제발!!
187,右の子にちょっとかかってるの笑う
188,كلكم كوريين
189,학교폭력을 근절하자
190,제 채널 영상 댓글에 9월학기제 청원 링크 올렸습니다. 청원 동의 좀 눌러주세요! 제발!!
191,연우의 순찰펀치맨앤~~~
192,제 채널 영상 댓글에 9월학기제 청원 링크 올렸습니다. 청원 동의 좀 눌러주세요! 제발!!
193,왕따를 당하고있는 가만안둬
194,학교에서 도덕쌤이 보여줬던거다
195,제 채널 영상 댓글에 9월학기제 청원 링크 올렸습니다. 청원 동의 좀 눌러주세요! 제발!!
196,네 씹덕
197,Whats the name of the of this drama.
198,🥺
199,특제 소스가 콜라인가?
200,제 채널 영상 댓글에 9월학기제 청원 링크 올렸습니다. 청원 동의 좀 눌러주세요! 제발!!
201,ㄹ키ㅇ
202,제 채널 영상 댓글에 9월학기제 청원 링크 올렸습니다. 청원 동의 좀 눌러주세요! 제발!!
203,나도 언니 동생 친구 이면좋은까요 <br>세상이 다 나싫어해요 <br>슬슬  사람둘이 나싫어해요 <br>왕따 무섭버
204,제 채널 영상 댓글에 9월학기제 청원 링크 올렸습니다. 청원 동의 좀 눌러주세요! 제발!!
205,저는 초딩 부턱 왕따 입니다 <br>전라도 광주 동곡초딩 학교 <br> ㅠㅠㅠㅠ 그래셔 친구없샤요<br>나는 애들이 너무 때러요 <br>가출만이해죠  죽어라고 해고 <br>세상이 너무 힘들네요 나도 당해서 <br>은비 님마음 알죠 <br>나는 실제 상화 <br>이제  송정리 학교 에서도 왕따 다함 <br>학교도<br>나도 ㅠㅠㅠ 내자신실어요 <br>광주정보고등학교 에서도 왕따 다함 <br>죽어싶어대 ㅠㅜ 세상이 나무 싫어요<br>왕따 다행보사람 알지 <br>나 초딩 짐 30대 아직 친구없네요 <br>나도 왕따가 무섭버 <br>메일 때리고 욕하구 돈빼기고<br>광주 동곡 초딩  송정중학교 광주 정보고딩<br>흥 시바  내가 언재가 복수 할거야 <br>내가 누구까 ㅁ ㅊ  나때리까 <br>행복하냐  내가 언재가복수하마<br>광주  동곡초딩 송정중학교 <br>광주정보고딩 학교 <br>왜 때리까 행복하냐 ㅁㅊ <br>나는 30돼네 아직 추억디 있다<br>다복수할거야 미치 <br>지금도 친그 없셔요 1명도
206,컨셉 제대로 잡아네 ㅋㅋ
207,저기요특제소스가뭐인가?
208,제 채널 영상 댓글에 9월학기제 청원 링크 올렸습니다. 청원 동의 좀 눌러주세요! 제발!!
209,나이거틱톡보고왔당!
210,재미있어요 ♡♡☆☆***
211,제 채널 영상 댓글에 9월학기제 청원 링크 올렸습니다. 청원 동의 좀 눌러주세요! 제발!!
212,Gade in portuguese?
213,왕따...ㅠ피해자들 모두 부모님께 말하세요!!  글고 친구들 뻔히 당하고있는 피해자보면 도와주진 않고 웃고 선생님도 요즘 이상해ㅋ
214,제 채널 영상 댓글에 9월학기제 청원 링크 올렸습니다. 청원 동의 좀 눌러주세요! 제발!!
215,너무불상하다
216,제 채널 영상 댓글에 9월학기제 청원 링크 올렸습니다. 청원 동의 좀 눌러주세요! 제발!!
217,"<b>MY 18+ PHOTOS HERE </b><b><a href=""http://sexydates.live/"">SEXYDATES.LIVE</a></b><br><br><br>みゃあこさん！ฅ( ̳• ·̫ • ̳ฅ)ﾆｬﾝ<br>TANTA BEYEZAS QUE DIOS A HECHO EN ESTE MUNDO ASERE Y<br>DISEN QUE DIOS ES MALO SI DIOS ES MALO NADIE ES BUENO ASERE<br>MIL GRASIAS POR TANTA BEYESAS I loro stati di salute rispettivi prevenirli<br>ライブ配信の再編ありがとうです！この日のライブ配信は、かならりやばかったですね！１万人を超える人が見ていたもんね（笑）やっぱり人参最高！まさかのカメラ切り忘れでやら1かしたのもドキドキでした！今後は気を51x73594"
218,오아
