,0
72383,법이란  진실과  동일한것 이런뷸합니한 것으로 처리한다면  어찌 이런나라에서  살길바라겠나
72384,똑같이 지그자식들이 당하길 아님썩길바랄뿐
72385,남의눈에 눈물내면 제눈에는 피눈물 날 일이 있단다. 삼대까지 벌받는다는 말있죠
72386,사고차량 운전자를 당장 처벌해야되는것 아닙니까 왜 안잡아가고 아직그러고 놔두고있나요 젊은아가씨가 억울하게 죽었는데 소속사대표도 죽음의 질주를 하라고 시켰으니 다 구속시켜야 마땅하다 대한민국에 법이있다면 절대용서하지말것을 신신당부드린다 자식잃은 부모의 심정 누구보다도 자시키운 우리는 잘알고있다  우리들에게 늘 웃음을 전해주던 김형은씨 부디 좋은곳에서 편하게 쉬시길 빕니다
72387,소속사   사장넌인간이가  보험료 도삥땅ㅡㅡ
72388,소속사라는것 자체가 필요가 없다.. 중간에서 지들이 돈먹을려고 만든거 아녀.
72389,"소속사가 개인적으로 돈내서 보험을 들었고, 죽어서 보험금수령인이 죽는다면 돈낸 소속사가가져가는거정상이라생각함.<br>문제는 심진화가다쳤을때는 보험금을 왜못내서(못내서못받은거맞지?)못받았냐는것이중점이어야할것같음.<br><br>그리고, 조팔 그냥그렇구나하고 쓴남경새ㄲ1들가해도, 그리고 소속사가거짓말했단걸 확실히안게많은데 수사를 쳐하게하지못함?   그렇게한 가해한남들도가해.<br>그리고저소속살인가해남들도 가자 가해자들이고.<br>어케됨 이후?<br><br>사망이유는 소속사에서 무조건가라고한거잖아.<br>그래서사망하고다쳤는데, 살인자는 처벌받아야지!!!<br>처벌안했고, 못함? 못하게한거임? 왜?<br><br><br>이주제에대해 계속다루지않아좀아쉬움"
72390,경찰들 항상 이런식으로 대충 조사하지마라<br>사람이죽었는데  항상 대충 조사하냐<br>소속사 대표 다시 조사해라
72391,천벌이 꼭 내려저 그돈 돈 돈 에 그대로 천벌로 돌아와서  그대로 받고   죽은사람이 그냥은 안있는다  꼭그렇게되서 당하는 걸 볼겁니다
72392,고인의명복을빕니다
72393,음모론인거 같은디
72394,"소속사에서 몸도 돈도 다가져가는거죠. 정상에 오르기까진 노예생활해야죠. 부정하고 싶겠지만 대개 딴다라에 몸담은 사람들이 조직폭력배, 성폭행범, 깡패들이 득실거리는 곳이라 조심해야죠."
72395,마음 아프네요 ㅠ
72396,"<a href=""https://youtu.be/QdIFMkbL8Cw"">https://youtu.be/QdIFMkbL8Cw</a>"
72397,"하은엔터테인먼트 김성광 대표로 알고있는데, 맞나요? 잘 몰라서요..!"
72398,심진화님 같은분을 군자라고 하죠. 어려운 입장이었을텐데 용기를 내신거에 대해 경의를 표합니다. 심진화님이 내신 용기가 세상을 조금이라도 아름답게 만든겁니다.
72399,지금은 어떻게 잘 해결되었는지요? 에고 마음이 아프네요
72400,와...정말 사람이 아니네<br>심지어 유족에게 줘야할 돈도 제대로 안줬어.....
72401,지금이라도 진실을 밝혀야겠네요.사망보험금을<br>부모가아닌소속사가 가져갔다는건 말이안됩니다.<br>상속자에게모는권한이있는데<br>보험사에서왜?소속사에 지불을한것도이상합니다.<br>수사해서 지금이라도 진실을<br>밝혀야합니다.<br>억울한망자를위해서라도.
72402,기획사  사장 사형
72403,사망보험금 노린거 아냐?
72404,운전 못하는애들 코너길 달려보면 안다......... 평지를 과속으로 엄청 달리면서........코너길은 빌..빌..빌... 웃기는 넘들이 많아
72405,소속사 나쁫해끼들ㅡㅅㅡ
72406,소속사 대표가 사과해도 모자를판인데...
72407,연예계자체가 썪엇어<br>저런쑤레기들한테 소속사를 내주는 자체가 첫번째로 문제이지<br>좀최강으로 보강해서 소속사도 함부로 못하게  철저히 해야지
72408,이 소속사 인간들로 인해 사고가 난거네요 이 나쁜인간들 순탄하게 D지진 않겠네
72409,심진화씨의 큰 용기와 친구에 대한 깊은 의리에 진심 감사드리고 응원합니다. ~~
72410,아이고 참 연예인 사연 참 어렵네요 사기꾼 천지고요
72411,15년전게  왜 1일전 거라먄서 올라와
72412,"<a href=""https://www.youtube.com/watch?v=5xlPDyycgqY&amp;t=10m30s"">10:30</a> 영상갈피😊"
72413,"<a href=""https://youtu.be/fsfMgoViMHE"">https://youtu.be/fsfMgoViMHE</a>"
72414,현대판 앵벌이 내 보험금까지 가져간다<br>이것 때문에 죽던라도 과속하라는 것이지<br>나쁜놈들<br>그런데   이때만 해도 KBS가 방송 제대로 했네
72415,ㅣㅣㅂㄱ4
72416,참 심성이 좋은 사람이네.. 이런사람이 많아야 세상이 살만하게 변하는데...
72417,"기관이 수혜자 인 이유는 무엇입니까? 미쳤어<br>기관이 수혜자 인 이유는 무엇입니까? 미쳤어"
72418,P
72419,@김명훈 노무현
72420,@시비충2A🖕 ?
72421,오늘도 내일도 좋은 일 많은 하루 보내십쇼
72422,"@시비충2A🖕 세상을 바꾸는건 관심과 행동이에요. 이 사건을 조금이라도 기억한다면, 또다시 이런일들이 벌어질때 우리모두 조금 더 용기낼수, 가만히 있지 않을 수 있겠죠...만약 저 엔터사장이 묵인하고 있을때 주변 사람들이 진실을 말할 용기가 있었다면 저 부모님의 애달픈 마음의 짐이 덜어지지 않았을까요?<br><br>그쪽이 말하는 하층민 처럼 사는게 뭔지 모르겠지만...돈 명예 지위에 상관없이 우리모두 인간적인 대우를 받고, 진실을 요구할  권리가 있습니다.<br>괜한 잔소리같으셨다면 죄송해요. 할말은 해야 할것 같아서.."
72423,조사 경찰 물었다 보인다 사망사고 이고 조사 하기도  아주쉬운 이런조사를 저따위로 조사하냐
72424,정말로 모든 시스템이 미친나라이네요 맙소사 너무 억울하네요
72425,"와~~<br>듣고보니 연예인들 죽으면 소속사는 보험보상으로 때돈들어오도록  해낫네<br>그러니까 강행시키는구나<br>와~<br>가면을쓴 천벌받을놈들,"
72426,소속사들 전부는 아니겠지만 이건 완전생양아치 소속사네<br>더러운 ㅅㄲ들
72427,나머지 멤버 한명은 침묵하고 있는 거?
72428,세상에 소속사 아주나쁘네요 이용만 당햇네 개자식들 천벌받을 악마인간 지옥불에 떨어져라 나쁜인간들아
72429,예전엔 연예기획사 대표라는 사람들이 조폭이 많았어요.
72430,저 소속사 대표 밝혀내자 찾아내자. 꼭
72431,꼭 힘내서 끝까지 밝히세요 응원합니다 얼마나 억울했으면...
